StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.06458,131.922363,2222.510498,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.251976,338.579224,438.184753,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.080154,341.707642,1491.805786,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.154305,219.005402,1332.773804,250.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.223371,244.289825,46.327099,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.814441,363.52124,70.955536,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.005811,364.462891,1044.00769,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.448708,287.130981,140.903961,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.945567,183.767517,635.486938,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.35768,147.626877,235.847046,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.098782,143.720215,2978.026611,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.836851,297.201172,336.191895,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.448174,211.760162,1929.624268,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.030335,238.3909,2105.685547,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.117945,274.220276,1481.460083,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.320231,246.546677,688.131348,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.407306,320.70343,1210.91333,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.017988,362.050385,117.374191,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.222752,273.169678,1597.55249,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.038475,194.973907,1817.102539,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.867571,133.782318,2888.576904,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.230378,181.44841,1481.36853,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.009784,175.074768,1279.580078,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.116108,204.981842,2453.962891,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.899615,324.859131,1688.833252,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.973937,338.913849,2825.403564,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.923649,123.151802,825.922424,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.878381,373.505798,1285.073486,250.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.933326,245.908539,2650.715576,250.0,BP_checkpoint2,
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.190283,433.013397,2656.239502,200.0,BP_checkpoint2,30.005874
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.233268,550.421143,1106.814819,200.0,BP_checkpoint2,30.005874
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,0.915159,501.004059,2215.674316,400.0,BP_checkpoint2,30.005874
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.234733,302.116455,2376.934082,250.0,BP_checkpoint2,30.005874
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.105548,448.3703,1542.375,250.0,BP_checkpoint2,30.005874
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.945692,331.792664,1843.897827,400.0,BP_checkpoint2,30.005874
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,0.941343,262.297424,2866.695312,250.0,BP_checkpoint2,30.005874
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.304819,331.079285,1176.824219,250.0,BP_checkpoint2,30.005874
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.541169,522.677551,2100.802734,400.0,BP_checkpoint2,30.005874
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,0.691168,259.36615,2750.480713,250.0,BP_checkpoint2,30.003267
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.004242,477.37204,2446.027832,400.0,BP_checkpoint2,30.002964
