StartLocation,StartRotation,CharacterScale,walkSpeed,jumpVelocity,sprintSpeed,DestLocation_asEntity,timeToPathLimit
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.416385,216.040375,1429.273315,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.227558,186.475723,2568.773438,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.239863,224.227264,813.562439,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.343217,309.878387,1408.032471,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.237919,210.476089,1510.116943,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.498013,186.086609,2409.649902,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.2141,369.474609,2891.506592,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.949968,131.292007,1453.718628,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.277291,339.816589,1582.262695,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.844563,277.613281,1555.986328,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.87225,198.732727,283.455902,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.336979,124.256874,2214.819824,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.406003,146.66188,1327.738281,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.193356,170.094147,339.030121,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.282974,327.466187,789.666504,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.991284,323.582886,1678.85376,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.02617,351.700012,1657.246704,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.985046,161.21463,2887.844482,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.092373,159.946136,1835.505127,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.402585,338.586975,319.803467,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.410425,321.434967,1567.705444,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.332643,223.698074,152.165298,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.409976,187.674194,368.510986,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.407862,333.754211,1487.777344,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.209507,167.432632,2000.762939,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.339863,254.834747,2679.830322,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.238453,303.372437,338.389221,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.474599,216.974243,478.56076,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.337812,216.468384,1914.243042,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.475262,180.366684,460.341187,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.204187,159.564804,863.460205,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.284256,373.521362,642.536743,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.184597,142.0159,2279.549561,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.175774,169.315918,2217.657959,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.184085,298.897675,820.245972,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.462166,212.016968,912.533936,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.461162,276.19696,1887.966553,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.059688,340.555908,436.445221,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.259645,210.086975,2646.137939,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.182269,212.732941,1710.348877,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.468404,196.857208,2504.226807,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.392694,136.59169,2441.51123,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.377612,178.989227,152.806168,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.291348,372.470764,989.165955,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.016065,274.726105,473.983002,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.872314,137.657852,1596.178955,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.010959,241.161377,1556.71875,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.183102,357.100891,754.600708,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.123841,335.933258,2816.248047,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.351378,205.355392,390.392792,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.369857,145.813629,761.375793,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.36191,281.512207,1.648,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.270177,268.025604,2486.648193,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.420594,258.103271,1808.130249,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.302606,227.962738,2804.162842,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.461354,356.797363,997.589111,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.300299,219.153259,1282.326782,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.496432,225.534683,266.060364,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.23213,360.579529,2729.544922,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.432771,198.071228,2966.765381,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.326725,349.544373,1867.091919,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.193292,196.211273,617.267334,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.223072,365.863678,1018.646851,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.400256,156.996674,2615.283691,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.185965,297.325684,1715.109741,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.480432,162.210754,790.398926,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.269216,350.55603,445.32608,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.305106,247.605057,2966.032959,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.276693,241.643875,2916.318359,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.412006,144.949799,389.202576,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.111344,169.588303,417.859406,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.175646,264.663696,535.142029,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.461889,215.456711,166.173294,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,0.802499,320.469971,185.399948,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.416385,309.076843,1021.668152,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.406708,155.323502,6.683554,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.300684,359.941406,2658.5896,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.478338,153.572495,510.7883,250.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.465157,321.364929,2703.085449,400.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.240547,302.936646,869.22821,200.0,BP_checkpoint2,
X=830.000 Y=-120.000 Z=350.000,X=0.000 Y=-90.000 Z=0.000,1.216749,188.506882,2582.781494,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.186135,276.228088,1726.371094,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.383914,182.600174,402.84433,250.0,BP_checkpoint2,
X=0.000 Y=-90.000 Z=0.000,0.879556,354.299286,576.982971,250.0,BP_checkpoint2,
X=0.000 Y=-90.000 Z=0.000,1.036659,190.717041,2550.920166,250.0,BP_checkpoint2,
X=7424.000 Y=-1022.000 Z=617.000,X=0.000 Y=-90.000 Z=0.000,1.186605,220.935394,2553.666748,200.0,BP_checkpoint2,
X=7424.000 Y=-1022.000 Z=617.000,X=0.000 Y=-90.000 Z=0.000,1.429759,348.252502,1780.755005,200.0,BP_checkpoint2,
X=7424.000 Y=-1022.000 Z=617.000,X=0.000 Y=-90.000 Z=0.000,1.019974,207.402115,288.216827,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.38056,316.539978,942.197998,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,0.908716,224.102753,1186.834351,400.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.858821,366.385071,1070.37561,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.639418,338.29126,1895.565796,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.5468,320.952454,1363.628052,250.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.985498,197.09845,216.620392,250.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.677651,316.189758,1133.365845,250.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.720646,160.623184,886.623779,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.652272,359.637878,1240.394287,400.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.966674,175.565048,1875.789673,400.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.951805,196.078979,662.129578,250.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.993262,123.922241,2025.391479,400.0,BP_checkpoint2,30.005068
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.644179,175.65065,726.035339,200.0,BP_checkpoint2,30.005068
X=592.000 Y=-1818.000 Z=894.000,X=0.000 Y=-90.000 Z=0.000,1.970886,193.145081,745.353577,250.0,BP_checkpoint2,30.003673
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.755474,290.664093,1352.275146,200.0,BP_checkpoint2,30.001076
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.353545,344.618225,511.886932,400.0,BP_checkpoint2,30.001076
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.965832,222.196106,752.220215,200.0,BP_checkpoint2,30.001076
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.973882,272.406982,2646.870361,200.0,BP_checkpoint2,30.001076
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.13491,170.397659,1364.90979,200.0,BP_checkpoint2,30.001076
X=592.000 Y=-1818.000 Z=894.000,X=0.000 Y=-90.000 Z=0.000,1.093673,267.877747,543.839844,250.0,BP_checkpoint2,30.002013
X=592.000 Y=-1818.000 Z=894.000,X=0.000 Y=-90.000 Z=0.000,1.821613,331.248352,1793.755859,200.0,BP_checkpoint2,30.000823
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.135313,214.499496,1676.747925,200.0,BP_checkpoint2,30.005237
X=592.000 Y=-1818.000 Z=894.000,X=0.000 Y=-90.000 Z=0.000,1.64319,263.885468,2218.390625,400.0,BP_checkpoint2,30.006104
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.403534,168.179718,421.430115,250.0,BP_checkpoint2,30.006104
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.810443,362.369446,1034.852173,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.612977,371.490234,2024.384155,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.775982,316.913513,1174.016602,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.364751,373.396851,877.010376,200.0,BP_checkpoint2,30.008623
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.062017,324.236572,2584.795654,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.845738,290.236084,1955.99231,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.85016,367.334534,2161.259766,250.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,0.853407,189.666443,2074.739746,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.430613,152.545242,432.782959,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.471865,191.3396,254.799042,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.098505,198.436996,1480.910645,250.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.282418,193.837708,506.85141,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.346016,354.065826,1223.914307,250.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.422068,126.661583,174.230179,250.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.183615,186.670288,454.023865,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.304828,314.454315,414.380341,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.335206,358.229309,1424.512451,200.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.047383,371.669189,2692.922852,250.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.046208,216.779694,2520.981445,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.102756,202.97403,8.239998,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.327323,204.382614,1848.322876,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.292309,221.892609,2491.958252,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.224973,363.67688,950.52948,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.488314,234.927826,472.701202,400.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,0.920295,322.291016,1525.772827,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.307883,200.608246,2288.247314,250.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.372399,214.258255,1583.819092,250.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.051506,283.457764,1711.813721,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.410382,152.630844,1422.864502,400.0,BP_checkpoint2,
X=2326.000 Y=1863.000 Z=1414.000,X=0.000 Y=-90.000 Z=0.000,1.156014,292.189392,2064.30249,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.313117,224.670853,2995.422119,200.0,BP_checkpoint2,
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.422153,360.011444,2824.762695,250.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.088891,199.409775,1214.667236,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.829289,302.52417,2099.55127,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.770363,469.217804,1506.706421,400.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.725654,294.242371,815.667297,200.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.520234,272.996918,2692.730469,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.097308,220.513626,2707.388672,400.0,BP_checkpoint2,
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.558184,241.596725,1534.501221,200.0,BP_checkpoint2,
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.653783,530.926697,2169.835449,400.0,BP_checkpoint2,
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.703818,354.023865,1718.466797,400.0,BP_checkpoint2,
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.893338,269.716492,2232.886719,250.0,BP_checkpoint2,
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.826411,484.168549,2189.977783,200.0,BP_checkpoint2,
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.987487,165.616318,1269.234375,250.0,BP_checkpoint2,30.008098
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,0.852123,351.507629,1466.689087,400.0,BP_checkpoint2,30.008098
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.553926,341.948425,2713.431152,400.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.12862,477.51474,2503.158691,250.0,BP_checkpoint2,30.008098
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,0.556352,545.012512,2756.279297,400.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.193167,486.697754,1114.810669,200.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.748177,545.194092,2173.436523,250.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.662694,566.193115,1446.60791,200.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,0.784692,189.248322,1960.112305,200.0,BP_checkpoint2,30.008098
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,0.790094,282.764679,2454.145996,250.0,BP_checkpoint2,30.008098
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.912198,394.141205,1407.605225,250.0,BP_checkpoint2,30.008098
X=7522.000 Y=1235.000 Z=900.000,X=0.000 Y=-90.000 Z=0.000,1.376461,269.573792,1710.531982,200.0,BP_checkpoint2,30.008098
X=-1788.000 Y=-1693.000 Z=581.000,X=0.000 Y=-90.000 Z=0.000,1.130177,458.305603,1716.269409,400.0,BP_checkpoint2,30.008098
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.854976,387.669006,1185.674561,400.0,BP_checkpoint2,30.008098
X=405.000 Y=-4041.000 Z=199.000,X=0.000 Y=-90.000 Z=0.000,1.784249,532.612854,1995.391724,400.0,BP_checkpoint2,30.008098
X=7424.000 Y=-49.000 Z=114.000,X=0.000 Y=-90.000 Z=0.000,1.952345,385.658569,1117.130005,250.0,BP_checkpoint2,30.008098
